name,shortName,code,description,studentsPerSection,totalSections,totalIntake,currentStrength,hodId
Computer Science,CS,CSE,Department of Computer Science and Engineering,60,4,240,0,
Electrical Engineering,EE,EEE,Department of Electrical and Electronics Engineering,60,3,180,0,
Mechanical Engineering,ME,MECH,Department of Mechanical Engineering,50,2,100,0,
Civil Engineering,CE,CIVIL,Department of Civil Engineering,55,3,165,0,
Information Technology,IT,IT,Department of Information Technology,45,2,90,0,
Electronics and Communication,ECE,ECE,Department of Electronics and Communication Engineering,50,3,150,0,
Chemical Engineering,CHE,CHEM,Department of Chemical Engineering,40,2,80,0,
Biotechnology,BT,BIO,Department of Biotechnology,30,1,30,0,
Aerospace Engineering,AE,AERO,Department of Aerospace Engineering,35,1,35,0,
Automobile Engineering,AUTO,AUTO,Department of Automobile Engineering,40,2,80,0,
